epic,sector_desc
B17FCD1,Equity ETI by Area - World
B17FF65,Equity ETI by Area - Europe
B17FF87,Equity ETI by Area - Japan
B17FFV0,Equity ETI by Sector - Large Mid Small and Micro Cap
B17FFW1,Equity ETI by Sector - Large Mid Small and Micro Cap
B17FG17,Equity ETI by Sector - Large Mid Small and Micro Cap
B17FG62,Equity ETI by Area - Other
B17FGF1,Equity ETI by Sector - Large Mid Small and Micro Cap
B17FGQ2,Equity ETI by Area - North America
B17FGX9,Equity ETI by Area - North America
B17FKC6,Equity ETI by Area - Japan
B17N7K7,Equity ETI by Sector - Basic Materials
B17N7L8,Equity ETI by Sector - Energy
B17N7N0,Equity ETI by Sector - Energy
B17N7P2,Equity ETI by Sector - Health
B17N7T6,Equity ETI by Sector - Banks & Financials
B17NS93,Equity ETI by Sector - Technology
B17NZ81,Equity ETI by Area - Russia
B17Z877,Equity ETI by Area - Europe
B18Q2H7,Equity ETI by Area - Japan
B19CHF7,Equity ETI by Area - Europe
B19FL43,Commodity ETI - Composite
B1CDG49,Equity ETI by Area - North America
B1CDG61,Equity ETI by Area - North America
B1CDGK5,Equity ETI by Area - Emerging Market
B1CDHR9,Equity ETI by Area - Europe
B1CDJV7,Equity ETI by Area - Latin & South America
B1CDJX9,Equity ETI by Area - Asia Pacific
B1CDJZ1,Equity ETI by Area - Asia Pacific
B1CDK14,Equity ETI by Area - Asia Pacific
B1CL9M2,Equity ETI by Sector - Large Mid Small and Micro Cap
B1CL9N3,Equity ETI by Sector - Large Mid Small and Micro Cap
B1DGRZ5,Commodity ETI - Composite
B1DNM73,Equity ETI by Sector - Health
B1FGTB3,Equity ETI by Sector - Basic Materials
B1FGVD9,Equity ETI by Sector - Industrials
B1FGVK6,Equity ETI by Sector - Consumer goods
B1FGVM8,Equity ETI by Sector - Consumer goods
B1FGVP1,Equity ETI by Sector - Utilities
B1FJR18,Equity ETI by Area - Emerging Market
B1FJR30,Equity ETI by Area - North America
B1FJR52,Equity ETI by Sector - Large Mid Small and Micro Cap
B1FJR96,Equity ETI by Area - North America
B1FLNF0,Equity ETI by Area - North America
B1FR057,Equity ETI by Area - Europe
B1FYXS2,Equity ETI by Sector - Consumer goods
B1FYXV5,Equity ETI by Sector - Banks & Financials
B1FYXX7,Equity ETI by Sector - Industrials
B1FYXY8,Equity ETI by Sector - Technology
B1G5179,Equity ETI by Area - Asia Pacific
B1G5328,Equity ETI by Sector - Property
B1G5340,Equity ETI by Sector - Property
B1G5362,Equity ETI by Sector - Property
B1G5384,Equity ETI by Sector - Industrials
B1G5395,Equity ETI by Area - Europe
B1G53G2,Equity ETI by Area - Developed Mkt
B1G53H3,Equity ETI by Sector - Industrials
B1G7XG8,Equity ETI by Sector - Energy
B1G7XJ1,Equity ETI by Sector - Technology
B1GJF02,Equity ETI by Area - Europe
B1GK6W4,Equity ETI by Area - Asia Pacific
B1GN2D6,Equity ETI by Area - North America
B1GN2H0,Equity ETI by Sector - Banks & Financials
B1GN2K3,Equity ETI by Sector - Health
B1GN2L4,Equity ETI by Sector - Industrials
B1GN2M5,Equity ETI by Sector - Technology
B1GN2Q9,Equity ETI by Sector - Utilities
B1GN2R0,Equity ETI by Sector - Basic Materials
B1HLJ94,Equity ETI by Area - North America
B1HMF44,Equity ETI by Area - North America
B1HPZ65,Equity ETI by Area - Europe
B1HPZL0,Equity ETI by Area - Europe
B1KKVN6,Equity ETI by Sector - Banks & Financials
B1L8560,Equity ETI by Area - North America
B1L9R56,Equity ETI by Sector - Property
B1LBFP8,Equity ETI by Area - North America
B1MFTR9,Equity ETI by Area - World
